Fecha,Contagios,Muertos,Recuperados_tot,Tests,Recuperados,Tests_diario,Activos,Contagios_tot,Muertos_tot,Activos_tot
2020-04-25,173,9,1030.0,47406.0,54.0,2752.0,110.0,3780,185,2565.0
2020-04-26,112,7,1107.0,49905.0,77.0,2499.0,28.0,3892,192,2593.0
2020-04-27,111,5,1140.0,51900.0,33.0,1995.0,73.0,4003,197,2666.0
2020-04-28,124,10,1162.0,53600.0,22.0,1700.0,92.0,4127,207,2758.0
2020-04-29,158,7,1192.0,56058.0,30.0,2458.0,121.0,4285,214,2879.0
2020-04-30,142,4,1256.0,58685.0,64.0,2627.0,74.0,4427,218,2953.0
2020-05-01,104,11,1292.0,61530.0,36.0,2845.0,57.0,4531,229,3010.0
2020-05-02,149,8,1320.0,63866.0,28.0,2336.0,113.0,4680,237,3123.0
2020-05-03,102,9,1354.0,65813.0,34.0,1947.0,59.0,4782,246,3182.0
2020-05-04,104,14,1442.0,67920.0,88.0,2107.0,2.0,4886,260,3184.0
2020-05-05,134,4,1472.0,69718.0,30.0,1798.0,100.0,5020,264,3284.0
2020-05-06,188,9,1524.0,72315.0,52.0,2597.0,127.0,5208,273,3411.0
2020-05-07,163,9,1601.0,75198.0,77.0,2883.0,77.0,5371,282,3488.0
2020-05-08,240,11,1659.0,77901.0,58.0,2703.0,171.0,5611,293,3659.0
2020-05-09,165,7,1728.0,80729.0,69.0,2828.0,89.0,5776,300,3748.0
2020-05-10,258,5,1757.0,83018.0,29.0,2289.0,224.0,6034,305,3972.0
2020-05-11,244,9,1837.0,85158.0,80.0,2140.0,155.0,6278,314,4127.0
2020-05-12,285,5,1862.0,87457.0,25.0,2299.0,255.0,6563,319,4382.0
2020-05-13,315,10,2266.0,90474.0,404.0,3017.0,-99.0,6878,329,4283.0
2020-05-14,255,24,2385.0,93673.0,119.0,3199.0,112.0,7133,353,4395.0
2020-05-15,345,3,2497.0,96893.0,112.0,3220.0,230.0,7478,356,4625.0
2020-05-16,327,7,2534.0,100362.0,37.0,3469.0,283.0,7805,363,4908.0
2020-05-17,263,10,2569.0,103220.0,35.0,2858.0,218.0,8068,373,5126.0
2020-05-18,303,9,2625.0,105829.0,56.0,2609.0,238.0,8371,382,5364.0
2020-05-19,438,11,2872.0,108634.0,247.0,2805.0,180.0,8809,393,5544.0
2020-05-20,474,10,2933.0,112370.0,61.0,3736.0,403.0,9283,403,5947.0
2020-05-21,648,13,3032.0,116689.0,99.0,4319.0,536.0,9931,416,6483.0
2020-05-22,718,17,3062.0,121278.0,30.0,4589.0,671.0,10649,433,7154.0
2020-05-23,704,12,3530.0,125893.0,468.0,4615.0,224.0,11353,445,7378.0
2020-05-24,723,7,3732.0,129418.0,202.0,3525.0,514.0,12076,452,7892.0
2020-05-25,552,15,3999.0,133468.0,267.0,4050.0,270.0,12628,467,8162.0
2020-05-26,600,23,4167.0,136662.0,168.0,3194.0,409.0,13228,490,8571.0
2020-05-27,706,10,4349.0,140218.0,182.0,3556.0,514.0,13934,500,9085.0
2020-05-28,769,8,4617.0,145081.0,268.0,4863.0,493.0,14703,508,9578.0
2020-05-29,717,12,4788.0,150486.0,171.0,5405.0,534.0,15420,520,10112.0
